user_name|tweet_text|created_at
SATMX|"#ComunicadoSAT 

El SAT recuerda a los contribuyentes que los gastos funerarios son deducibles del pago de impuesto sobre la renta (ISR) en la declaración anual, para poder obtener, en su caso, saldo a favor.

Asimismo, señala que las herencias no están sujetas al pago de https://t.co/okiHxjbbbl"|Tue Nov 28 02:22:44 +0000 2023
SATMX|"#ComunicadoSAT 
El SAT informa que, del 25 de octubre al 10 de noviembre, se considerarán días inhábiles en Acapulco de Juárez, por lo que no se computarán plazos y términos legales correspondientes. 

Asimismo, se comunica la apertura de los Módulos de Servicios Tributarios de https://t.co/bhM1Z58gPY"|Sat Oct 28 02:06:36 +0000 2023
SATMX|"#ComunicadoSAT 

El SAT recuerda a los contribuyentes tramitar o mantener vigente su e.firma para la presentación de la Declaración Anual 2023.

Asimismo, da a conocer los requisitos necesarios para obtener la e.firma por primera vez. https://t.co/R1H50FRMOm"|Mon Mar 11 18:31:50 +0000 2024
SATMX|"#ComunicadoSAT

El SAT informa que a partir del 1 de febrero está a disposición de las personas morales del Régimen General una nueva herramienta que permite presentar los pagos definitivos del IVA. 

Con lo anterior, el SAT reitera el compromiso de continuar implementando https://t.co/I6D3WOQWoy"|Thu Feb 15 17:59:18 +0000 2024
SATMX|"#ComunicadoSAT

El SAT recuerda los gastos médicos que se pueden deducir en la Declaración Anual 2023 de personas físicas.

Para más información, ingresa al Visor de deducciones personales en la siguiente liga:
https://t.co/I04b6cu2mi

#Declara2023 https://t.co/ncRqgpv7tu"|Mon Apr 08 19:02:18 +0000 2024
SATMX|"#ComunicadoSAT 

El SAT informa que, para aquellos contribuyentes que como resultado de la presentación de la Declaración Anual 2023 de personas físicas se les determine impuesto a pagar, tienen la opción de hacerlo hasta en seis parcialidades.

#Declara2023 https://t.co/4lQFuy124Q"|Mon Apr 01 15:07:47 +0000 2024
SATMX|"Conoce los requisitos para renovar tu e.firma si venció hace menos de un año. 

Ingresa a https://t.co/JfFxMkG8gY https://t.co/zxS5EstTuL"|Tue Dec 05 16:04:02 +0000 2023
SATMX|"#ComunicadoSAT

El SAT informa que de enero a julio de 2024 la recaudación tributaria alcanzó 2 billones 943 mil 846 millones de pesos, lo que representa un incremento de 296 mil 339 millones de pesos, en comparación con el mismo periodo de 2023, es decir, un crecimiento real de https://t.co/HOSKvor6Ox"|Mon Aug 19 17:06:51 +0000 2024
SATMX|"Obtén tu Constancia de Situación Fiscal a través de SAT ID. 

Consulta los requisitos e ingresa a https://t.co/JfFxMkG8gY https://t.co/Qy9vNdFkQk"|Wed Dec 13 16:03:13 +0000 2023
SATMX|"Si eres persona física, conoce los detalles para inscribirte al RFC a través de Oficina Virtual, sin acudir a una oficina. 

Registra tu cita en https://t.co/HtlAkjaD9d https://t.co/6yG68ggYTc"|Wed Jun 12 19:25:21 +0000 2024
SATMX|"Hoy, hace 27 años, iniciamos funciones como organismo encargado de recaudar las contribuciones del país. 

Este 1 de julio, celebramos ser parte de la transformación de México que contribuye a una sociedad más justa y equitativa. 

Contribuimos al bienestar de México https://t.co/mzezrBNx0K"|Mon Jul 01 15:47:32 +0000 2024
SATMX|"El Presidente de México, @lopezobrador_ presentó la propuesta de 20 reformas constitucionales que enviará al Congreso de la Unión.  

La número nueve establece: 
“Penalizar con severidad el delito fiscal ejercido por la delincuencia de cuello blanco mediante el uso de las https://t.co/OJiQHBnDwL"|Tue Feb 06 01:38:13 +0000 2024
SATMX|Si perteneces al RIF y este año cumples 10 años de tributar bajo este régimen, conoce cómo presentar tu aviso de actualización de obligaciones fiscales en https://t.co/KxzxGDnsNu https://t.co/V7zD5BPqSc|Fri Mar 01 18:09:24 +0000 2024
SATMX|"#ComunicadoSAT 

El SAT informa que la recaudación tributaria en el primer cuatrimestre de 2024 alcanzó un billón 766 mil 612 millones de pesos, cifra que cumplió la meta proyectada en la Ley de Ingresos de la Federación (LIF), al recaudar el 100.1 por ciento. 

Estos resultados https://t.co/sUwJyvkBvV"|Mon May 13 15:35:59 +0000 2024
SATMX|"#ComunicadoSAT 

El SAT recuerda a las Donatarias Autorizadas presentar su declaración anual a más tardar el 15 de febrero, en la cual deben informar acerca de sus ingresos obtenidos y de las erogaciones efectuadas.

Para más información, visita el Portal del SAT https://t.co/BhTPgK5swA"|Tue Feb 13 17:25:54 +0000 2024
SATMX|"#ComunicadoSAT

El SAT y la @SRE_mx firmaron un convenio para que las y los mexicanos que viven en el exterior puedan inscribirse al RFC desde cualquier parte del mundo por medio de Oficina Virtual. 

Al respecto el jefe del SAT sostuvo que, como institución integrante de la https://t.co/BO3AgkxtRZ"|Wed May 22 22:41:02 +0000 2024
SATMX|"#ComunicadoSAT 

El SAT informa que no se suspenderá la atención presencial en las oficinas del país durante el periodo vacacional del 18 de diciembre al 2 de enero. 

Asimismo, recuerda a los contribuyentes la opción de realizar trámites a través de las herramientas digitales https://t.co/1lAufXr8vB"|Thu Dec 14 17:06:21 +0000 2023
