user_name|id_tweet|tweet_text|created_at
SATMX|1851378869368238306|@DanielMart31016 Buen día, los 3.5 millones que refieres son el límite de ingresos para tributar en el Régimen Simplificado de Confianza, la obligación de presentar declaración anual depende de la actividad económica que realices, saludos.|Tue Oct 29 21:41:34 +0000 2024
SATMX|1851325972362002835|@RBK60 Buen día, a fin de orientarte, ¿podrías indicarnos cuándo presentaste tu declaración anual y si presentaste el Formato Electrónico de Devolución?, quedamos atentos.|Tue Oct 29 18:11:22 +0000 2024
SATMX|1851030626906050993|@grclaudia7903 Buen día, primero valida la información de tu certificado ingresando a https://t.co/c2vwtTGt9W, si el mismo se encuentra activo, descárgalo nuevamente, recuerda que si eres persona física puedes enviar tu declaración con la contraseña del RFC, saludos.|Mon Oct 28 22:37:46 +0000 2024
SATMX|1849945621471412416|@jolusagu720428 Es necesario que valides los datos capturados en tu declaración, de acuerdo a la imagen que nos compartes el campo de ingresos acumulables se encuentra en ceros, tal como te indican en la respuesta a tu solicitud de devolución, así mismo, el saldo a favor se determina...|Fri Oct 25 22:46:21 +0000 2024
SATMX|1849238238688416203|@Fernando_Dot Buen día, si eres persona física, tributas en el Régimen Simplificado de Confianza y no realizas actividades económicas del sector primario, te encuentras relevado de presentar declaración anual del ejercicio 2024, saludos.|Wed Oct 23 23:55:27 +0000 2024
SATMX|1848813569355468816|@Mich_Lv Buen día, podrías indicarnos, en que régimen fiscal te encuentras tributando, que tipo de declaración y a qué periodo corresponde, quedamos a pendiente.|Tue Oct 22 19:47:58 +0000 2024
SATMX|1848451101575811555|@ad_cautelam1 En este caso, es necesario que consultes el acuse de tu declaración a fin de validar si la misma ya se encuentra presentada, saludos.|Mon Oct 21 19:47:39 +0000 2024
SATMX|1848406706935504988|@Aveces_Pancreas Buen día, agradecemos nos especifiques cuál es la declaración provisional a presentar y qué te indica el aplicativo, quedamos atentos.|Mon Oct 21 16:51:15 +0000 2024
SATMX|1848403838170009632|@miguel_cedeno_m Buen día, nuestro portal se encuentra funcionando de forma correcta, agradecemos nos especifiques cuál es la declaración provisional a presentar y qué te indica el aplicativo, quedamos atentos.|Mon Oct 21 16:39:51 +0000 2024
SATMX|1847423723231482042|"Presenta tu declaración provisional o definitiva.

Considera que, si el sexto dígito numérico de tu RFC es 1 o 2, tienes hasta el 17 de octubre más un día hábil.

Declaro y cumplo https://t.co/iELVlgNG1A"|Fri Oct 18 23:45:13 +0000 2024
SATMX|1847053926794702978|"Presenta a tiempo tu declaración provisional o definitiva. 

Recuerda identificar la fecha límite de pago, según el sexto dígito numérico de tu RFC. https://t.co/Nq5JVkv57g"|Thu Oct 17 23:15:47 +0000 2024
SATMX|1846954117417123899|@Al_exitocm En este caso, para que la información se actualice es necesario que presentes tu declaración complementaria del tipo “Obligación no presentada”, del periodo de agosto, saludos.|Thu Oct 17 16:39:10 +0000 2024
SATMX|1846946096834068609|@Al_exitocm En este caso, ¿podrías indicarnos si presentaste una declaración complementaria, efectuaste un pago y qué estatus tiene?, quedamos atentos.|Thu Oct 17 16:07:18 +0000 2024
SATMX|1846944264582058459|@AntonioDeXoch Buen día, a fin de orientarte, ¿podrías indicarnos qué régimen aparece en tu constancia de situación fiscal, qué declaración te estás solicitando y de qué periodo y ejercicio?, quedamos atentos.|Thu Oct 17 16:00:01 +0000 2024
SATMX|1846626885855596969|@bexsoft En este caso, ¿podrías especificarnos qué declaración estás presentando, de qué periodo y ejercicio se trata?, quedamos atentos.|Wed Oct 16 18:58:52 +0000 2024
SATMX|1846567566531023076|@aaronme87 Buen día, agradecemos nos especifiques cuál declaración es la que deseas presentar y en qué momento te indica la leyenda que refieres, quedamos atentos.|Wed Oct 16 15:03:10 +0000 2024
SATMX|1846254571905339409|@relativista De acuerdo a la imagen que nos compartes, tu declaración ya se encuentra presentada, saludos.|Tue Oct 15 18:19:26 +0000 2024
